Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-02-26,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-02-27,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-02-28,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-02-29,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-03-01,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-03-02,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-03-03,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-03-04,,,,,,,,0,,,,,,,,,,,,,,,1,,,,1
2020-03-05,,,,,,,,0,,,,,,,,,,,,,,,1,,,,1
2020-03-06,,,,,2,,,0,,,,,,,,,,,,,,,2,,,,4
2020-03-07,,,,,2,,,0,,,,,,,,,,,,,,,4,,,,6
2020-03-08,,,,,2,,,0,,,,,,,,,,,,,,,3,,,,5
2020-03-09,,,,,4,,,3,,,,,,,,,,,,,,,5,1,,,13
2020-03-10,,,,,1,,,4,,,,,1,,,,,,,,,,6,1,,,13
2020-03-11,,,,,1,2,,6,,,,,1,,,,,,,,,,7,1,,,18
2020-03-12,,,,,3,,,6,,,,,1,,,,,,,,,,8,1,,,21
2020-03-13,,,,,3,,,7,,,,,1,,,,,,,,13,,10,1,,,37
2020-03-14,,,,,2,,,8,,,,,1,,,,,,,,,,14,1,,,41
2020-03-15,,,,,2,,,12,,,,,1,,,,,,,,,,19,1,,,50
2020-03-16,,,,,4,,,10,,,,,2,,,,,,,,,,27,1,,,59
2020-03-17,,,,,5,,,19,,,,,4,,,,,,,,,,35,2,,,80
2020-03-18,,,,,2,,5,20,,,,,3,,,,,,,,,,34,2,,,81
2020-03-19,6,,,,2,,5,19,,,,,3,,,,,,,,33,,32,2,,,104
2020-03-20,4,,,,2,,6,22,,,,,4,,,,,,,,35,,30,5,,,110
2020-03-21,,,,,4,,6,25,,,,,5,,,,,,,,40,,23,6,,,115
2020-03-22,,,,,7,,8,36,,,1,,6,,,,,,,,46,,23,7,,,140
2020-03-23,3,,,,10,,7,43,,,2,,11,,,,,,,,45,,41,10,,,174
2020-03-24,2,,,,11,,7,41,,,3,,8,,,,,,,,50,,46,11,,,181
2020-03-25,5,,,,8,,7,50,,,3,,10,,,,,,,,57,,58,11,,,211
2020-03-26,10,,,,9,8,5,52,,,4,,9,,,,,,,,60,,66,11,,,234
2020-03-27,12,,,,11,8,8,54,,,4,,9,,,,,,,,61,,73,15,,,255
2020-03-28,,,,,14,11,12,59,,,5,,11,,,,,,,,69,,76,19,,,288
2020-03-29,,,,,15,12,13,59,,,5,,16,,,,,,,,69,,78,23,,,302
2020-03-30,25,,,21,17,12,16,57,,,5,,12,,,,,,,,75,,76,21,,,337
2020-03-31,25,,,23,18,15,20,64,,,4,,14,,,,,,,,74,,80,23,,,360
2020-04-01,27,,,26,17,16,23,64,,,5,12,14,,,,,,,,76,,83,23,,,386
2020-04-02,27,,,24,18,17,23,62,,,4,11,12,,,11,3,,,,75,,83,23,,,393
2020-04-03,27,,,30,18,17,21,65,,,3,12,11,,,12,3,,,,75,,80,27,,,401
2020-04-04,,,,35,19,16,21,61,,,3,12,10,,,13,3,,,,72,,80,26,,,398
2020-04-05,,,,30,19,15,20,56,,,3,12,12,,,13,3,,,,74,,78,26,,,388
2020-04-06,25,,,35,17,13,19,56,,,3,6,10,2,,12,3,,,14,72,,81,25,,,393
2020-04-07,25,,,34,18,13,22,51,,,4,6,10,2,,9,3,,,13,72,,83,25,,,390
2020-04-08,23,,,35,18,14,22,49,,,4,,10,1,,12,2,,,15,71,,,26,,,391